Category,Stations,Address,District,Opened,Code,lon,lat
Tseung Kwan O Line,Hang Hau,"Hang Hau Station, Sai Kung, Hong Kong",Sai Kung,2002,HAH,114.264393,22.315596
Tseung Kwan O Line,LOHAS Park,"LOHAS Park Station, Sai Kung, Hong Kong",Sai Kung,2009,LHP,114.2686,22.295398
Tseung Kwan O Line,Po Lam,"Po Lam Station, Sai Kung, Hong Kong",Sai Kung,2002,POA,114.257832,22.322511
Tseung Kwan O Line,Tseung Kwan O,"Tseung Kwan O Station, Sai Kung, Hong Kong",Sai Kung,2002,TKO,114.260018,22.307436
Tseung Kwan O Line,Yau Tong,"Yau Tong Station, Kwun Tong, Hong Kong",Kwun Tong,2002,YAT,114.236966,22.298112
Tsuen Wan Line,Cheung Sha Wan,"Cheung Sha Wan Station, Sham Shui Po, Hong Kong",Sham Shui Po,1982,CSW,114.1564582,22.3355438
Tsuen Wan Line,Jordan,"Jordan Station, Yau Tsim Mong, Hong Kong",Yau Tsim Mong,1979,JOR,114.1715215,22.3042744
Tsuen Wan Line,Kwai Fong,"Kwai Fong Station, Kwai Tsing, Hong Kong",Kwai Tsing,1982,KWF,114.127693,22.356718
Tsuen Wan Line,Kwai Hing,"Kwai Hing Station, Kwai Tsing, Hong Kong",Kwai Tsing,1982,KWH,114.131207,22.363056
Tsuen Wan Line,Lai Chi Kok,"Lai Chi Kok Station, Sham Shui Po, Hong Kong",Sham Shui Po,1982,LCK,114.1483061,22.3375026
Tsuen Wan Line,Lai King,"Lai King Station, Kwai Tsing, Hong Kong",Kwai Tsing,1982,LAK,114.126161,22.348416
Tsuen Wan Line,Prince Edward,"Prince Edward Station, Yau Tsim Mong, Hong Kong",Yau Tsim Mong,1982,PRE,114.1683631,22.3250785
Tsuen Wan Line,Sham Shui Po,"Sham Shui Po Station, Sham Shui Po, Hong Kong",Sham Shui Po,1982,SSP,114.1617967,22.3310009
Tsuen Wan Line,Tai Wo Hau,"Tai Wo Hau Station, Kwai Tsing/Tsuen Wan, Hong Kong",Kwai Tsing,1982,TWH,114.124951,22.370758
Tsuen Wan Line,Tsim Sha Tsui,"Tsim Sha Tsui Station, Yau Tsim Mong, Hong Kong",Yau Tsim Mong,1979,TST,114.172175,22.297604
Tsuen Wan Line,Tsuen Wan,"Tsuen Wan Station, Tsuen Wan, Hong Kong",Tsuen Wan,1982,TSW,114.11778,22.373644
Tsuen Wan Line,Yau Ma Tei,"Yau Ma Tei Station, Yau Tsim Mong, Hong Kong",Yau Tsim Mong,1979,YMT,114.1705828,22.3133688
Tung Chung Line,Olympic,"Olympic Station, Yau Tsim Mong, Hong Kong",Yau Tsim Mong,1998,OLY,114.16022,22.317771
Tung Chung Line,Sunny Bay,"Sunny Bay Station, Tsuen Wan, Hong Kong",Tsuen Wan,2005,SUN,114.0288927,22.3317535
Tung Chung Line,Tsing Yi,"Tsing Yi Station, Kwai Tsing, Hong Kong",Kwai Tsing,1998,TSY,114.107261,22.358487
Tung Chung Line,Tung Chung,"Tung Chung Station, Islands, Hong Kong",Islands,1998,TUC,113.941269,22.289163
West Rail Line,Austin,"Austin Station, Yau Tsim Mong, Hong Kong",Yau Tsim Mong,2009,AUS,114.16627,22.304981
West Rail Line,East Tsim Sha Tsui,"East Tsim Sha Tsui Station, Yau Tsim Mong, Hong Kong",Yau Tsim Mong,2004,ETS,114.174586,22.295263
West Rail Line,Hung Hom,"Hung Hom Station, Yau Tsim Mong/Kowloon City, Hong Kong",Yau Tsim Mong,1975,HUH,114.1822172,22.3028696
West Rail Line,Kam Sheung Road,"Kam Sheung Road Station, Yuen Long, Hong Kong",Yuen Long,2003,KSR,114.0627851,22.4349112
West Rail Line,Long Ping,"Long Ping Station, Yuen Long, Hong Kong",Yuen Long,2003,LOP,114.02485,22.44766
West Rail Line,Mei Foo,"Mei Foo Station, Sham Shui Po, Hong Kong",Sham Shui Po,2003,MEF,114.136401,22.337751
West Rail Line,Nam Cheong,"Nam Cheong Station, Sham Shui Po, Hong Kong",Sham Shui Po,2003,NAC,114.1536799,22.3267772
West Rail Line,Siu Hong,"Siu Hong Station, Tuen Mun, Hong Kong",Tuen Mun,2003,SIH,113.978772,22.411341
West Rail Line,Tin Shui Wai,"Tin Shui Wai Station, Yuen Long, Hong Kong",Yuen Long,2003,TIS,114.004687,22.448281
West Rail Line,Tsuen Wan West,"Tsuen Wan West Station, Tsuen Wan, Hong Kong",Tsuen Wan,2003,TWW,114.10978,22.368313
West Rail Line,Tuen Mun,"Tuen Mun Station, Tuen Mun, Hong Kong",Tuen Mun,2003,TUM,113.973132,22.394875
West Rail Line,Yuen Long,"Yuen Long Station, Yuen Long, Hong Kong",Yuen Long,2003,YUL,114.034706,22.446113
